Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,855.000000,870.000000,845.000000,870.000000,870.000000,24166900
2021-07-02,865.000000,870.000000,850.000000,855.000000,855.000000,20127900
2021-07-05,850.000000,860.000000,830.000000,840.000000,840.000000,22449900
2021-07-06,840.000000,870.000000,835.000000,870.000000,870.000000,23233600
2021-07-07,870.000000,890.000000,860.000000,890.000000,890.000000,15778400
2021-07-08,900.000000,900.000000,870.000000,875.000000,875.000000,23099400
2021-07-09,875.000000,900.000000,860.000000,890.000000,890.000000,25525500
2021-07-12,895.000000,900.000000,855.000000,855.000000,855.000000,20845000
2021-07-13,860.000000,870.000000,835.000000,840.000000,840.000000,37074800
2021-07-14,845.000000,850.000000,810.000000,820.000000,820.000000,42258300
2021-07-15,825.000000,825.000000,805.000000,805.000000,805.000000,19972300
2021-07-16,805.000000,825.000000,800.000000,810.000000,810.000000,24950200
2021-07-19,810.000000,820.000000,805.000000,810.000000,810.000000,29005900
2021-07-21,805.000000,825.000000,800.000000,810.000000,810.000000,24738800
2021-07-22,810.000000,840.000000,810.000000,835.000000,835.000000,45846600
2021-07-23,840.000000,850.000000,810.000000,810.000000,810.000000,38598100
2021-07-26,820.000000,820.000000,805.000000,805.000000,805.000000,25401300
2021-07-27,820.000000,895.000000,820.000000,875.000000,875.000000,113197500
2021-07-28,890.000000,890.000000,845.000000,870.000000,870.000000,51914600
2021-07-29,870.000000,955.000000,865.000000,955.000000,955.000000,111429800
2021-07-30,960.000000,1015.000000,960.000000,970.000000,970.000000,190485100
2021-08-02,985.000000,1065.000000,970.000000,1040.000000,1040.000000,162697100
2021-08-03,1045.000000,1050.000000,995.000000,1030.000000,1030.000000,107370000
2021-08-04,1035.000000,1075.000000,1010.000000,1040.000000,1040.000000,58986500
2021-08-05,1070.000000,1130.000000,1045.000000,1090.000000,1090.000000,127671000
2021-08-06,1125.000000,1165.000000,1085.000000,1125.000000,1125.000000,88081400
2021-08-09,1130.000000,1140.000000,1075.000000,1100.000000,1100.000000,64498500
2021-08-10,1095.000000,1105.000000,1035.000000,1035.000000,1035.000000,60422400
2021-08-12,1035.000000,1105.000000,1030.000000,1085.000000,1085.000000,52275800
2021-08-13,1085.000000,1095.000000,1060.000000,1075.000000,1075.000000,25145600
2021-08-16,1080.000000,1085.000000,1035.000000,1050.000000,1050.000000,32480900
2021-08-18,1050.000000,1145.000000,1045.000000,1130.000000,1130.000000,100125200
2021-08-19,1130.000000,1135.000000,1060.000000,1080.000000,1080.000000,54654600
2021-08-20,1080.000000,1100.000000,1060.000000,1085.000000,1085.000000,34157400
2021-08-23,1100.000000,1125.000000,1060.000000,1085.000000,1085.000000,40234100
2021-08-24,1090.000000,1125.000000,1070.000000,1125.000000,1125.000000,31104800
2021-08-25,1125.000000,1125.000000,1080.000000,1095.000000,1095.000000,48136800
2021-08-26,1095.000000,1145.000000,1045.000000,1055.000000,1055.000000,115623500
2021-08-27,1050.000000,1070.000000,1025.000000,1060.000000,1060.000000,37384000
2021-08-30,1070.000000,1075.000000,1030.000000,1055.000000,1055.000000,37791200
