Date,Open,High,Low,Close,Adj Close,Volume
2021-10-28,8825.000000,8850.000000,8675.000000,8800.000000,8800.000000,7670900
2021-10-29,8800.000000,8925.000000,8750.000000,8800.000000,8800.000000,7541300
2021-11-01,8800.000000,8875.000000,8700.000000,8800.000000,8800.000000,6520400
2021-11-02,8800.000000,8875.000000,8775.000000,8850.000000,8850.000000,3320900
2021-11-03,8850.000000,8850.000000,8700.000000,8775.000000,8775.000000,6778900
2021-11-04,8775.000000,8875.000000,8775.000000,8800.000000,8800.000000,2796400
2021-11-05,8800.000000,8850.000000,8750.000000,8800.000000,8800.000000,5357200
2021-11-08,8825.000000,8900.000000,8800.000000,8900.000000,8900.000000,2606200
2021-11-09,8925.000000,8975.000000,8875.000000,8925.000000,8925.000000,2936800
2021-11-10,8925.000000,8950.000000,8825.000000,8900.000000,8900.000000,2206900
2021-11-11,8900.000000,8925.000000,8800.000000,8850.000000,8850.000000,1269200
2021-11-12,8900.000000,8950.000000,8850.000000,8950.000000,8950.000000,1767300
2021-11-15,8950.000000,8975.000000,8900.000000,8925.000000,8925.000000,2870000
2021-11-16,8950.000000,8975.000000,8800.000000,8825.000000,8825.000000,6167400
2021-11-17,8825.000000,8875.000000,8825.000000,8850.000000,8850.000000,6965500
2021-11-18,8875.000000,9175.000000,8875.000000,9075.000000,9075.000000,9739300
2021-11-19,9150.000000,9200.000000,9000.000000,9025.000000,9025.000000,4570900
2021-11-22,9025.000000,9100.000000,9000.000000,9075.000000,9075.000000,3401900
2021-11-23,9050.000000,9050.000000,8900.000000,8950.000000,8950.000000,5458400
2021-11-24,8975.000000,9000.000000,8950.000000,9000.000000,9000.000000,1648300
2021-11-25,9000.000000,9025.000000,8950.000000,8950.000000,8950.000000,1599300
2021-11-26,8950.000000,8975.000000,8850.000000,8875.000000,8875.000000,5372700
2021-11-29,8875.000000,8900.000000,8800.000000,8875.000000,8875.000000,7196000
2021-11-30,9025.000000,9050.000000,8450.000000,8450.000000,8450.000000,12610000
2021-12-01,8725.000000,8950.000000,8700.000000,8925.000000,8925.000000,15597800
2021-12-02,8900.000000,8975.000000,8800.000000,8850.000000,8850.000000,2949200
